set_id,name,url,brickset_url,year,pieces,notes
33783,Winter Chalet,https://images.brickset.com/sets/images/910004-1.jpg,https://brickset.com/sets/910004-1,2023,2705,is cool
32182,Modular LEGO Store,https://images.brickset.com/sets/images/910009-1.jpg,https://brickset.com/sets/910009-1,2022,2149,this is superb
5303,The Batboat: Hunt for Killer Croc,https://images.brickset.com/sets/images/7780-1.jpg,https://brickset.com/sets/7780-1,2006,188,pepa
5302,The Batman Dragster: Catwoman Pursuit,https://images.brickset.com/sets/images/7779-1.jpg,https://brickset.com/sets/7779-1,2006,92,"ahoj,p"
31760,Kakapo,https://images.brickset.com/sets/images/910017-1.jpg,https://brickset.com/sets/910017-1,2021,1063,kakapoop
